'Symbol','Company','Market'
'ACSEL.IS','ACIPAYAM SELULOZ','N'
'ADEL.IS','ADEL KALEMCILIK','N'
'ADESE.IS','ADESE GAYRIMENKUL','N'
'AFYON.IS','AFYON CIMENTO','N'
'AGYO.IS','ATAKULE GMYO','N'
'AKMGY.IS','AKMERKEZ GMYO','N'
'AKSUE.IS','AKSU ENERJI','N'
'AKYHO.IS','AKDENIZ YATIRIM HOLDING','N'
'ALCAR.IS','ALARKO CARRIER','N'
'ALKA.IS','ALKIM KAGIT','N'
'ALMAD.IS','ALTINYAG MADENCILIK VE ENERJI','N'
'ANELE.IS','ANEL ELEKTRIK','N'
'ARMDA.IS','ARMADA BILGISAYAR','N'
'ARSAN.IS','ARSAN TEKSTIL','N'
'ARZUM.IS','ARZUM EV ALETLERI','N'
'ASUZU.IS','ANADOLU ISUZU','N'
'ATEKS.IS','AKIN TEKSTIL','N'
'AVGYO.IS','AVRASYA GMYO','N'
'AVHOL.IS','AVRUPA YATIRIM HOLDING','N'
'AVOD.IS','A.V.O.D GIDA VE TARIM','N'
'AZTEK.IS','AZTEK TEKNOLOJI','N'
'BAKAB.IS','BAK AMBALAJ','N'
'BANVT.IS','BANVIT','N'
'BAYRK.IS','BAYRAK TABAN SANAYI','N'
'BEYAZ.IS','BEYAZ FILO','N'
'BFREN.IS','BOSCH FREN SISTEMLERI','N'
'BIZIM.IS','BIZIM MAGAZALARI','N'
'BJKAS.IS','BESIKTAS FUTBOL YAT.','N'
'BMSCH.IS','BMS CELIK HASIR','N'
'BMSTL.IS','BMS BIRLESIK METAL','N'
'BNTAS.IS','BANTAS AMBALAJ','N'
'BOSSA.IS','BOSSA','N'
'BRLSM.IS','BIRLESIM MUHENDISLIK','N'
'BSOKE.IS','BATISOKE CIMENTO','N'
'BURCE.IS','BURCELIK','N'
'BURVA.IS','BURCELIK VANA','N'
'CELHA.IS','CELIK HALAT','N'
'CEMAS.IS','CEMAS DOKUM','N'
'CEOEM.IS','CEO EVENT MEDYA','N'
'CMBTN.IS','CIMBETON','N'
'CRDFA.IS','CREDITWEST FAKTORING','N'
'CRFSA.IS','CARREFOURSA','N'
'CUSAN.IS','CUHADAROGLU METAL','N'
'DAGHL.IS','DAGI YATIRIM HOLDING','N'
'DAGI.IS','DAGI GIYIM','N'
'DENGE.IS','DENGE HOLDING','N'
'DERHL.IS','DERLUKS YATIRIM HOLDING','N'
'DERIM.IS','DERIMOD','N'
'DESA.IS','DESA DERI','N'
'DESPC.IS','DESPEC BILGISAYAR','N'
'DGATE.IS','DATAGATE BILGISAYAR','N'
'DGGYO.IS','DOGUS GMYO','N'
'DGNMO.IS','DOGANLAR MOBILYA','N'
'DITAS.IS','DITAS DOGAN','N'
'DMSAS.IS','DEMISAS DOKUM','N'
'DNISI.IS','DINAMIK ISI MAKINA YALITIM','N'
'DOCO.IS','DO-CO','N'
'DOGUB.IS','DOGUSAN','N'
'DOKTA.IS','DOKTAS DOKUMCULUK','N'
'DURDO.IS','DURAN DOGAN BASIM','N'
'DYOBY.IS','DYO BOYA','N'
'DZGYO.IS','DENIZ GMYO','N'
'EDATA.IS','E-DATA TEKNOLOJI','N'
'EDIP.IS','EDIP GAYRIMENKUL','N'
'EGEPO.IS','NASMED EGEPOL','N'
'EMKEL.IS','EMEK ELEKTRIK','N'
'ENSRI.IS','ENSARI DERI','N'
'EPLAS.IS','EGEPLAST','N'
'ERSU.IS','ERSU GIDA','N'
'ESCAR.IS','ESCAR FILO','N'
'ESCOM.IS','ESCORT TEKNOLOJI','N'
'ETILR.IS','ETILER GIDA','N'
'EUHOL.IS','EURO YATIRIM HOLDING','N'
'FADE.IS','FADE GIDA','N'
'FENER.IS','FENERBAHCE FUTBOL','N'
'FLAP.IS','FLAP KONGRE TOPLANTI HIZ.','N'
'FMIZP.IS','F-M IZMIT PISTON','N'
'FONET.IS','FONET BILGI TEKNOLOJILERI','N'
'FORMT.IS','FORMET METAL VE CAM','N'
'FRIGO.IS','FRIGO PAK GIDA','N'
'GEDZA.IS','GEDIZ AMBALAJ','N'
'GENTS.IS','GENTAS','N'
'GEREL.IS','GERSAN ELEKTRIK','N'
'GLBMD.IS','GLOBAL MEN. DEG.','N'
'GLRYH.IS','GULER YAT. HOLDING','N'
'GMTAS.IS','GIMAT MAGAZACILIK','N'
'GOLTS.IS','GOLTAS CIMENTO','N'
'GRSEL.IS','GUR-SEL TURIZM TASIMACILIK','N'
'GSDDE.IS','GSD DENIZCILIK','N'
'GSRAY.IS','GALATASARAY SPORTIF','N'
'GZNMI.IS','GEZINOMI SEYAHAT','N'
'HATEK.IS','HATAY TEKSTIL','N'
'HDFGS.IS','HEDEF GIRISIM','N'
'HKTM.IS','HIDROPAR HAREKET KONTROL','N'
'HUBVC.IS','HUB GIRISIM','N'
'HUNER.IS','HUN YENILENEBILIR ENERJI','N'
'HURGZ.IS','HURRIYET GZT.','N'
'ICBCT.IS','ICBC TURKEY BANK','N'
'IDEAS.IS','IDEAL FINANSAL TEKNOLOJILER','N'
'IEYHO.IS','ISIKLAR ENERJI YAPI HOL.','N'
'IHAAS.IS','IHLAS HABER AJANSI','N'
'IHEVA.IS','IHLAS EV ALETLERI','N'
'IHGZT.IS','IHLAS GAZETECILIK','N'
'IHLAS.IS','IHLAS HOLDING','N'
'IHLGM.IS','IHLAS GAYRIMENKUL','N'
'IHYAY.IS','IHLAS YAYIN HOLDING','N'
'IMASM.IS','IMAS MAKINA','N'
'INTEM.IS','INTEMA','N'
'ISGSY.IS','IS GIRISIM','N'
'ISKPL.IS','ISIK PLASTIK','N'
'ISYAT.IS','IS YAT. ORT.','N'
'ITTFH.IS','ITTIFAK HOLDING','N'
'IZFAS.IS','IZMIR FIRCA','N'
'IZINV.IS','IZ YATIRIM HOLDING','N'
'IZMDC.IS','IZMIR DEMIR CELIK','N'
'KAPLM.IS','KAPLAMIN','N'
'KARYE.IS','KARTAL YEN. ENERJI','N'
'KATMR.IS','KATMERCILER EKIPMAN','N'
'KFEIN.IS','KAFEIN YAZILIM','N'
'KGYO.IS','KORAY GMYO','N'
'KIMMR.IS','KIM MARKET-ERSAN ALISVERIS','N'
'KLGYO.IS','KILER GMYO','N'
'KLMSN.IS','KLIMASAN KLIMA','N'
'KLSYN.IS','KOLEKSIYON MOBILYA','N'
'KNFRT.IS','KONFRUT GIDA','N'
'KRGYO.IS','KORFEZ GMYO','N'
'KRONT.IS','KRON TELEKOMUNIKASYON','N'
'KRSTL.IS','KRISTAL KOLA','N'
'KRTEK.IS','KARSU TEKSTIL','N'
'KTSKR.IS','KUTAHYA SEKER FABRIKASI','N'
'KUTPO.IS','KUTAHYA PORSELEN','N'
'KUYAS.IS','KUYAS YATIRIM','N'
'LIDFA.IS','LIDER FAKTORING','N'
'LINK.IS','LINK BILGISAYAR','N'
'LKMNH.IS','LOKMAN HEKIM SAGLIK','N'
'LUKSK.IS','LUKS KADIFE','N'
'MAALT.IS','MARMARIS ALTINYUNUS','N'
'MAKIM.IS','MAKIM MAKINE','N'
'MAKTK.IS','MAKINA TAKIM','N'
'MANAS.IS','MANAS ENERJI YONETIMI','N'
'MARTI.IS','MARTI OTEL','N'
'MEGAP.IS','MEGA POLIETILEN','N'
'MEPET.IS','METRO PETROL VE TESISLERI','N'
'MERCN.IS','MERCAN KIMYA','N'
'MERIT.IS','MERIT TURIZM','N'
'MERKO.IS','MERKO GIDA','N'
'METRO.IS','METRO HOLDING','N'
'METUR.IS','METEMTUR YATIRIM','N'
'MIPAZ.IS','MILPA','N'
'MNDRS.IS','MENDERES TEKSTIL','N'
'MRGYO.IS','MARTI GMYO','N'
'MRSHL.IS','MARSHALL','N'
'MSGYO.IS','MISTRAL GMYO','N'
'MTRKS.IS','MATRIKS BILGI DAGITIM','N'
'MZHLD.IS','MAZHAR ZORLU HOLDING','N'
'NIBAS.IS','NIGBAS NIGDE BETON','N'
'NTGAZ.IS','NATURELGAZ','N'
'OBASE.IS','OBASE BILGISAYAR','N'
'OLMK.IS','MONDI OLMUKSAN KAGIT VE AMBALAJ','N'
'ORCAY.IS','ORCAY ORTAKOY CAY SANAYI','N'
'ORGE.IS','ORGE ENERJI ELEKTRIK','N'
'OSMEN.IS','OSMANLI MENKUL','N'
'OSTIM.IS','OSTIM ENDUSTRIYEL YAT','N'
'OYLUM.IS','OYLUM SINAI YATIRIMLAR','N'
'OZGYO.IS','OZDERICI GMYO','N'
'OZRDN.IS','OZERDEN PLASTIK','N'
'PAGYO.IS','PANORA GMYO','N'
'PAMEL.IS','PAMEL ELEKTRIK','N'
'PAPIL.IS','PAPILON SAVUNMA','N'
'PCILT.IS','PC ILETISIM MEDYA','N'
'PEGYO.IS','PERA GMYO','N'
'PEKGY.IS','PEKER GMYO','N'
'PENGD.IS','PENGUEN GIDA','N'
'PETUN.IS','PINAR ET VE UN','N'
'PINSU.IS','PINAR SU','N'
'PKART.IS','PLASTIKKART','N'
'PNLSN.IS','PANELSAN CATI CEPHE','N'
'PNSUT.IS','PINAR SUT','N'
'POLTK.IS','POLITEKNIK METAL','N'
'PRDGS.IS','PARDUS GIRISIM','N'
'PRKME.IS','PARK ELEK.MADENCILIK','N'
'PSDTC.IS','PERGAMON DIS TICARET','N'
'RALYH.IS','RAL YATIRIM HOLDING','N'
'RNPOL.IS','RAINBOW POLIKARBONAT','N'
'RTALB.IS','RTA LABORATUVARLARI','N'
'RYSAS.IS','REYSAS LOJISTIK','N'
'SAFKR.IS','SAFKAR EGE SOGUTMACILIK','N'
'SAMAT.IS','SARAY MATBAACILIK','N'
'SANFM.IS','SANIFOAM ENDUSTRI','N'
'SANKO.IS','SANKO PAZARLAMA','N'
'SAYAS.IS','SAY YENILENEBILIR ENERJI','N'
'SEGYO.IS','SEKER GMYO','N'
'SEKFK.IS','SEKER FIN. KIR.','N'
'SEKUR.IS','SEKURO PLASTIK','N'
'SELVA.IS','SELVA GIDA','N'
'SEYKM.IS','SEYITLER KIMYA','N'
'SILVR.IS','SILVERLINE ENDUSTRI','N'
'SKTAS.IS','SOKTAS','N'
'SMART.IS','SMARTIKS YAZILIM','N'
'SONME.IS','SONMEZ FILAMENT','N'
'SRVGY.IS','SERVET GMYO','N'
'TDGYO.IS','TREND GMYO','N'
'TEKTU.IS','TEK-ART TURIZM','N'
'TETMT.IS','TETAMAT GIDA','N'
'TGSAS.IS','TGS DIS TICARET','N'
'TLMAN.IS','TRABZON LIMAN','N'
'TMPOL.IS','TEMAPOL POLIMER PLASTIK','N'
'TUCLK.IS','TUGCELIK','N'
'TURGG.IS','TURKER PROJE GAYRIMENKUL','N'
'ULUFA.IS','ULUSAL FAKTORING','N'
'ULUSE.IS','ULUSOY ELEKTRIK','N'
'ULUUN.IS','ULUSOY UN SANAYI','N'
'UNLU.IS','UNLU YATIRIM HOLDING','N'
'USAK.IS','USAK SERAMIK','N'
'VAKFN.IS','VAKIF FIN. KIR.','N'
'VBTYZ.IS','VBT YAZILIM','N'
'VERTU.IS','VERUSATURK GIRISIM','N'
'VKFYO.IS','VAKIF YAT. ORT.','N'
'VKGYO.IS','VAKIF GMYO','N'
'YAPRK.IS','YAPRAK SUT VE BESI CIFT.','N'
'YAYLA.IS','YAYLA EN. UR. TUR. VE INS','N'
'YEOTK.IS','YEO TEKNOLOJI ENERJI','N'
'YESIL.IS','YESIL YATIRIM HOLDING','N'
'YGYO.IS','YESIL GMYO','N'
'YKSLN.IS','YUKSELEN CELIK','N'
'YUNSA.IS','YUNSA','N'
'YYAPI.IS','YESIL YAPI','N'
'ZOREN.IS','ZORLU ENERJI','N'
'AYES.IS','AYES CELIK HASIR VE CIT','S'
'BALAT.IS','BALATACILAR BALATACILIK','S'
'BASCM.IS','BASTAS BASKENT CIMENTO','S'
'CMENT.IS','CIMENTAS','S'
'ISBIR.IS','ISBIR HOLDING','S'
'KENT.IS','KENT GIDA','S'
'KLNMA.IS','T. KALKINMA BANK.','S'
'KSTUR.IS','KUSTUR KUSADASI TURIZM','S'
'ORMA.IS','ORMA ORMAN MAHSULLERI','S'
'QNBFB.IS','QNB FINANSBANK','S'
'QNBFL.IS','QNB FINANS FINANSAL KIRALAMA','S'
'SNPAM.IS','SONMEZ PAMUKLU','S'
'SODSN.IS','SODAS SODYUM SANAYII','S'
'SUMAS.IS','SUMAS SUNI TAHTA','S'
'TBORG.IS','T.TUBORG','S'
'UMPAS.IS','UMPAS HOLDING','S'
'UZERB.IS','UZERTAS BOYA','S'
'YBTAS.IS','YIBITAS INSAAT MALZEME','S'
'YONGA.IS','YONGA MOBILYA','S'
'ATAGY.IS','ATA GMYO','T'
'ATLAS.IS','ATLAS YAT. ORT.','T'
'AVTUR.IS','AVRASYA PETROL VE TUR.','T'
'AYCES.IS','ALTINYUNUS CESME','T'
'BRKSN.IS','BERKOSAN YALITIM','T'
'DOBUR.IS','DOGAN BURDA','T'
'ETYAT.IS','EURO TREND YAT. ORT.','T'
'EUKYO.IS','EURO KAPITAL YAT. ORT.','T'
'EUYO.IS','EURO YAT. ORT.','T'
'GARFA.IS','GARANTI FAKTORING','T'
'GRNYO.IS','GARANTI YAT. ORT.','T'
'IDGYO.IS','IDEALIST GMYO','T'
'ISATR.IS','IS BANKASI (A)','T'
'ISBTR.IS','IS BANKASI (B)','T'
'ISKUR.IS','IS BANKASI (KUR.)','T'
'MARKA.IS','MARKA YATIRIM HOLDING','T'
'MTRYO.IS','METRO YAT. ORT.','T'
'OYAYO.IS','OYAK YAT. ORT.','T'
'PRZMA.IS','PRIZMA PRESS MATBAACILIK','T'
'RAYSG.IS','RAY SIGORTA','T'
'RHEAG.IS','RHEA GIRISIM','T'
'RODRG.IS','RODRIGO TEKSTIL','T'
'SANEL.IS','SANEL MUHENDISLIK','T'
'SELGD.IS','SELCUK GIDA','T'
'UFUK.IS','UFUK YATIRIM','T'
'ULAS.IS','ULASLAR TURIZM YAT.','T'
'VANGD.IS','VANET GIDA','T'
'VKING.IS','VIKING KAGIT','T'
'ATSYH.IS','ATLANTIS YATIRIM HOLDING','W'
'BRKO.IS','BIRKO MENSUCAT','W'
'BRMEN.IS','BIRLIK MENSUCAT','W'
'CASA.IS','CASA EMTIA PETROL','W'
'COSMO.IS','COSMOS YAT. HOLDING','W'
'DIRIT.IS','DIRITEKS DIRILIS TEKSTIL','W'
'EKIZ.IS','EKIZ KIMYA','W'
'EMNIS.IS','EMINIS AMBALAJ','W'
'KERVN.IS','KERVANSARAY YAT. HOLDING','W'
'KUVVA.IS','KUVVA GIDA','W'
'MMCAS.IS','MMC SAN. VE TIC. YAT.','W'
'OTTO.IS','OTTO HOLDING','W'
'ROYAL.IS','ROYAL HALI','W'
'SNKRN.IS','SENKRON SIBER GUVENLIK YAZILIM','W'
'ZEDUR.IS','ZEDUR ENERJI','W'
'AEFES.IS','ANADOLU EFES','Z'
'AGESA.IS','AGESA HAYAT EMEKLILIK','Z'
'AGHOL.IS','ANADOLU GRUBU HOLDING','Z'
'AKBNK.IS','AKBANK','Z'
'AKCNS.IS','AKCANSA','Z'
'AKENR.IS','AK ENERJI','Z'
'AKFGY.IS','AKFEN GMYO','Z'
'AKGRT.IS','AKSIGORTA','Z'
'AKSA.IS','AKSA','Z'
'AKSEN.IS','AKSA ENERJI','Z'
'AKSGY.IS','AKIS GMYO','Z'
'ALARK.IS','ALARKO HOLDING','Z'
'ALBRK.IS','ALBARAKA TURK','Z'
'ALCTL.IS','ALCATEL LUCENT TELETAS','Z'
'ALGYO.IS','ALARKO GMYO','Z'
'ALKIM.IS','ALKIM KIMYA','Z'
'ANGEN.IS','ANATOLIA TANI VE BIYOTEKNOLOJI','Z'
'ANHYT.IS','ANADOLU HAYAT EMEK.','Z'
'ANSGR.IS','ANADOLU SIGORTA','Z'
'ARASE.IS','DOGU ARAS ENERJI','Z'
'ARCLK.IS','ARCELIK','Z'
'ARDYZ.IS','ARD BILISIM TEKNOLOJILERI','Z'
'ARENA.IS','ARENA BILGISAYAR','Z'
'ASELS.IS','ASELSAN','Z'
'ATATP.IS','ATP BILGISAYAR','Z'
'AYDEM.IS','AYDEM ENERJI','Z'
'AYEN.IS','AYEN ENERJI','Z'
'AYGAZ.IS','AYGAZ','Z'
'BAGFS.IS','BAGFAS','Z'
'BARMA.IS','BAREM AMBALAJ','Z'
'BASGZ.IS','BASKENT DOGALGAZ GMYO','Z'
'BERA.IS','BERA HOLDING','Z'
'BIMAS.IS','BIM MAGAZALAR','Z'
'BIOEN.IS','BIOTREND CEVRE VE ENERJI','Z'
'BLCYT.IS','BILICI YATIRIM','Z'
'BOBET.IS','BOGAZICI BETON SANAYI','Z'
'BRISA.IS','BRISA','Z'
'BRSAN.IS','BORUSAN MANNESMANN','Z'
'BRYAT.IS','BORUSAN YAT. PAZ.','Z'
'BTCIM.IS','BATI CIMENTO','Z'
'BUCIM.IS','BURSA CIMENTO','Z'
'CANTE.IS','CAN2 TERMIK','Z'
'CCOLA.IS','COCA COLA ICECEK','Z'
'CEMTS.IS','CEMTAS','Z'
'CIMSA.IS','CIMSA','Z'
'CLEBI.IS','CELEBI','Z'
'CONSE.IS','CONSUS ENERJI','Z'
'DAPGM.IS','DAP GAYRIMENKUL','Z'
'DARDL.IS','DARDANEL','Z'
'DEVA.IS','DEVA HOLDING','Z'
'DOAS.IS','DOGUS OTOMOTIV','Z'
'DOHOL.IS','DOGAN HOLDING','Z'
'ECILC.IS','ECZACIBASI ILAC','Z'
'ECZYT.IS','ECZACIBASI YATIRIM','Z'
'EGEEN.IS','EGE ENDUSTRI','Z'
'EGGUB.IS','EGE GUBRE','Z'
'EGPRO.IS','EGE PROFIL','Z'
'EGSER.IS','EGE SERAMIK','Z'
'EKGYO.IS','EMLAK KONUT GMYO','Z'
'ELITE.IS','ELITE NATUREL ORGANIK GIDA','Z'
'ENJSA.IS','ENERJISA ENERJI','Z'
'ENKAI.IS','ENKA INSAAT','Z'
'ERBOS.IS','ERBOSAN','Z'
'ERCB.IS','ERCIYAS CELIK BORU','Z'
'EREGL.IS','EREGLI DEMIR CELIK','Z'
'ESEN.IS','ESENBOGA ELEKTRIK','Z'
'EUREN.IS','EUROPEN ENDUSTRI','Z'
'FROTO.IS','FORD OTOSAN','Z'
'GARAN.IS','GARANTI BANKASI','Z'
'GEDIK.IS','GEDIK Y. MEN. DEG.','Z'
'GENIL.IS','GEN ILAC','Z'
'GESAN.IS','GIRISIM ELEKTRIK SANAYI','Z'
'GLCVY.IS','GELECEK VARLIK YONETIMI','Z'
'GLYHO.IS','GLOBAL YAT. HOLDING','Z'
'GOODY.IS','GOOD-YEAR','Z'
'GOZDE.IS','GOZDE GIRISIM','Z'
'GSDHO.IS','GSD HOLDING','Z'
'GUBRF.IS','GUBRE FABRIK.','Z'
'GWIND.IS','GALATA WIND ENERJI','Z'
'HALKB.IS','T. HALK BANKASI','Z'
'HEDEF.IS','HEDEF HOLDING','Z'
'HEKTS.IS','HEKTAS','Z'
'HEKTS.R','HEKTAS  - RHKP','Z'
'HLGYO.IS','HALK GMYO','Z'
'HTTBT.IS','HITIT BILGISAYAR','Z'
'INDES.IS','INDEKS BILGISAYAR','Z'
'INFO.IS','INFO YATIRIM','Z'
'INVEO.IS','INVEO YATIRIM HOLDING','Z'
'INVES.IS','INVESTCO HOLDING','Z'
'IPEKE.IS','IPEK DOGAL ENERJI','Z'
'ISCTR.IS','IS BANKASI (C)','Z'
'ISDMR.IS','ISKENDERUN DEMIR CELIK','Z'
'ISFIN.IS','IS FIN.KIR.','Z'
'ISGYO.IS','IS GMYO','Z'
'ISMEN.IS','IS Y. MEN. DEG.','Z'
'ISSEN.IS','ISBIR SENTETIK DOKUMA','Z'
'JANTS.IS','JANTSA JANT SANAYI','Z'
'KAREL.IS','KAREL ELEKTRONIK','Z'
'KARSN.IS','KARSAN OTOMOTIV','Z'
'KARTN.IS','KARTONSAN','Z'
'KCAER.IS','KOCAER CELIK','Z'
'KCHOL.IS','KOC HOLDING','Z'
'KERVT.IS','KEREVITAS GIDA','Z'
'KLKIM.IS','KALEKIM KIMYEVI MADDELER','Z'
'KLRHO.IS','KILER HOLDING','Z'
'KMPUR.IS','KIMTEKS POLIURETAN','Z'
'KONKA.IS','KONYA KAGIT','Z'
'KONTR.IS','KONTROLMATIK TEKNOLOJI','Z'
'KONYA.IS','KONYA CIMENTO','Z'
'KORDS.IS','KORDSA TEKNIK TEKSTIL','Z'
'KOZAA.IS','KOZA MADENCILIK','Z'
'KOZAL.IS','KOZA ALTIN','Z'
'KRDMA.IS','KARDEMIR (A)','Z'
'KRDMB.IS','KARDEMIR (B)','Z'
'KRDMD.IS','KARDEMIR (D)','Z'
'KRPLS.IS','KOROPLAST TEMIZLIK AMBALAJ','Z'
'KRVGD.IS','KERVAN GIDA','Z'
'KZBGY.IS','KIZILBUK GYO','Z'
'LIDER.IS','LDR TURIZM','Z'
'LOGO.IS','LOGO YAZILIM','Z'
'MAGEN.IS','MARGUN ENERJI','Z'
'MAVI.IS','MAVI GIYIM','Z'
'MEDTR.IS','MEDITERA TIBBI MALZEME','Z'
'MGROS.IS','MIGROS TICARET','Z'
'MIATK.IS','MIA TEKNOLOJI','Z'
'MOBTL.IS','MOBILTEL ILETISIM','Z'
'MPARK.IS','MLP SAGLIK','Z'
'NATEN.IS','NATUREL ENERJI','Z'
'NETAS.IS','NETAS TELEKOM.','Z'
'NTHOL.IS','NET HOLDING','Z'
'NUGYO.IS','NUROL GMYO','Z'
'NUHCM.IS','NUH CIMENTO','Z'
'ODAS.IS','ODAS ELEKTRIK','Z'
'OTKAR.IS','OTOKAR','Z'
'OYAKC.IS','OYAK CIMENTO','Z'
'OYYAT.IS','OYAK YATIRIM MENKUL','Z'
'OZKGY.IS','OZAK GMYO','Z'
'PARSN.IS','PARSAN','Z'
'PENTA.IS','PENTA TEKNOLOJI URUNLERI DAGITIM','Z'
'PETKM.IS','PETKIM','Z'
'PGSUS.IS','PEGASUS','Z'
'PKENT.IS','PETROKENT TURIZM','Z'
'POLHO.IS','POLISAN HOLDING','Z'
'PRKAB.IS','TURK PRYSMIAN KABLO','Z'
'PSGYO.IS','PASIFIK GMYO','Z'
'QUAGR.IS','QUA GRANITE HAYAL YAPI','Z'
'RUBNS.IS','RUBENIS TEKSTIL','Z'
'RYGYO.IS','REYSAS GMYO','Z'
'SAHOL.IS','SABANCI HOLDING','Z'
'SARKY.IS','SARKUYSAN','Z'
'SASA.IS','SASA POLYESTER','Z'
'SELEC.IS','SELCUK ECZA DEPOSU','Z'
'SISE.IS','SISE CAM','Z'
'SKBNK.IS','SEKERBANK','Z'
'SMRTG.IS','SMART GUNES ENERJISI TEK.','Z'
'SNGYO.IS','SINPAS GMYO','Z'
'SOKM.IS','SOK MARKETLER TICARET','Z'
'SUNTK.IS','SUN TEKSTIL','Z'
'SUWEN.IS','SUWEN TEKSTIL','Z'
'TATGD.IS','TAT GIDA','Z'
'TAVHL.IS','TAV HAVALIMANLARI','Z'
'TCELL.IS','TURKCELL','Z'
'TEZOL.IS','EUROPAP TEZOL KAGIT','Z'
'THYAO.IS','TURK HAVA YOLLARI','Z'
'TIRE.IS','MONDI TURKEY','Z'
'TKFEN.IS','TEKFEN HOLDING','Z'
'TKNSA.IS','TEKNOSA IC VE DIS TICARET','Z'
'TMSN.IS','TUMOSAN MOTOR VE TRAKTOR','Z'
'TOASO.IS','TOFAS OTO. FAB.','Z'
'TRCAS.IS','TURCAS PETROL','Z'
'TRGYO.IS','TORUNLAR GMYO','Z'
'TRILC.IS','TURK ILAC SERUM','Z'
'TSGYO.IS','TSKB GMYO','Z'
'TSKB.IS','T.S.K.B.','Z'
'TSPOR.IS','TRABZONSPOR SPORTIF','Z'
'TTKOM.IS','TURK TELEKOM','Z'
'TTRAK.IS','TURK TRAKTOR','Z'
'TUKAS.IS','TUKAS','Z'
'TUPRS.IS','TUPRAS','Z'
'TUREX.IS','TUREKS TURIZM TASIMACILIK','Z'
'TURSG.IS','TURKIYE SIGORTA','Z'
'ULKER.IS','ULKER BISKUVI','Z'
'VAKBN.IS','VAKIFLAR BANKASI','Z'
'VAKKO.IS','VAKKO TEKSTIL','Z'
'VERUS.IS','VERUSA HOLDING','Z'
'VESBE.IS','VESTEL BEYAZ ESYA','Z'
'VESTL.IS','VESTEL','Z'
'YATAS.IS','YATAS','Z'
'YGGYO.IS','YENI GIMAT GMYO','Z'
'YKBNK.IS','YAPI VE KREDI BANK.','Z'
'YYLGD.IS','YAYLA GIDA','Z'
'ZRGYO.IS','ZIRAAT GMYO','Z'
